batting_team,bowling_team,venue,overs,current_score,wickets,runs_last_5_overs,wickets_last_5_overs,total_score
Gujarat Titans,Chennai Super Kings,Arun Jaitley Stadium,12.6,132,0,60,0,226
Rajasthan Royals,Chennai Super Kings,Wankhede Stadium,7.3,64,3,54,2,148
Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,14.4,85,1,40,1,135
Rajasthan Royals,Punjab Kings,Narendra Modi Stadium,19.2,189,3,25,0,193
Delhi Capitals,Gujarat Titans,Narendra Modi Stadium,9.6,103,3,48,0,205
Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,9.6,54,3,30,2,155
Mumbai Indians,Rajasthan Royals,Arun Jaitley Stadium,19.2,123,1,57,1,131
Mumbai Indians,Rajasthan Royals,Eden Gardens,16.8,97,0,40,0,129
Chennai Super Kings,Gujarat Titans,Sawai Mansingh Stadium,16.6,144,3,36,0,176
Mumbai Indians,Kolkata Knight Riders,Sawai Mansingh Stadium,11.0,81,5,25,1,123
Chennai Super Kings,Lucknow Super Giants,Wankhede Stadium,12.8,137,2,66,0,194
Lucknow Super Giants,Punjab Kings,Feroz Shah Kotla,8.8,99,1,43,1,209
Delhi Capitals,Mumbai Indians,Feroz Shah Kotla,6.9,80,3,34,2,210
Kolkata Knight Riders,Royal Challengers Bangalore,MA Chidambaram Stadium,7.2,83,2,57,1,191
Chennai Super Kings,Mumbai Indians,Sawai Mansingh Stadium,5.4,38,3,57,0,174
Sunrisers Hyderabad,Kolkata Knight Riders,Wankhede Stadium,5.3,53,1,48,1,139
Kolkata Knight Riders,Rajasthan Royals,M Chinnaswamy Stadium,8.2,76,3,53,2,136
Lucknow Super Giants,Sunrisers Hyderabad,Sawai Mansingh Stadium,8.2,66,3,48,0,183
Gujarat Titans,Sunrisers Hyderabad,Feroz Shah Kotla,16.4,104,8,38,2,116
Sunrisers Hyderabad,Gujarat Titans,M Chinnaswamy Stadium,17.2,201,2,35,2,225
Sunrisers Hyderabad,Gujarat Titans,M Chinnaswamy Stadium,15.1,104,5,34,0,133
Gujarat Titans,Mumbai Indians,Arun Jaitley Stadium,5.5,38,2,37,1,151
Kolkata Knight Riders,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,15.3,77,1,30,1,119
Kolkata Knight Riders,Chennai Super Kings,Narendra Modi Stadium,15.6,83,3,41,1,107
Sunrisers Hyderabad,Lucknow Super Giants,Narendra Modi Stadium,8.7,67,0,46,0,169
Rajasthan Royals,Chennai Super Kings,Punjab Cricket Association Stadium,15.3,82,0,41,0,140
Chennai Super Kings,Punjab Kings,Punjab Cricket Association Stadium,13.4,93,2,35,1,138
Punjab Kings,Lucknow Super Giants,M Chinnaswamy Stadium,8.0,51,5,32,1,125
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,8.0,48,3,56,0,123
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,9.7,97,3,30,2,186
Kolkata Knight Riders,Chennai Super Kings,Rajiv Gandhi International Stadium,11.5,135,3,33,2,208
Punjab Kings,Sunrisers Hyderabad,Sawai Mansingh Stadium,14.2,85,2,63,0,119
Mumbai Indians,Chennai Super Kings,Punjab Cricket Association Stadium,6.7,58,2,61,0,151
Kolkata Knight Riders,Punjab Kings,M Chinnaswamy Stadium,5.6,28,1,37,1,183
Sunrisers Hyderabad,Chennai Super Kings,Feroz Shah Kotla,14.8,107,2,65,2,141
Punjab Kings,Delhi Capitals,Feroz Shah Kotla,7.1,76,2,31,2,144
Kolkata Knight Riders,Gujarat Titans,MA Chidambaram Stadium,9.8,51,4,34,2,114
Lucknow Super Giants,Delhi Capitals,M Chinnaswamy Stadium,5.0,27,4,42,0,160
Chennai Super Kings,Royal Challengers Bangalore,Punjab Cricket Association Stadium,13.4,75,6,50,2,126
Chennai Super Kings,Punjab Kings,Rajiv Gandhi International Stadium,7.9,44,6,59,0,103
Kolkata Knight Riders,Delhi Capitals,Sawai Mansingh Stadium,10.7,77,1,38,0,158
Kolkata Knight Riders,Punjab Kings,Wankhede Stadium,16.1,177,3,27,2,209
Mumbai Indians,Sunrisers Hyderabad,Feroz Shah Kotla,7.3,80,4,32,0,154
Delhi Capitals,Royal Challengers Bangalore,M Chinnaswamy Stadium,11.7,132,2,40,1,216
Rajasthan Royals,Delhi Capitals,M Chinnaswamy Stadium,18.3,136,2,25,0,152
Chennai Super Kings,Delhi Capitals,Punjab Cricket Association Stadium,15.3,145,7,30,0,177
Mumbai Indians,Delhi Capitals,Eden Gardens,16.6,154,1,39,1,193
Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,6.6,56,5,32,1,154
Lucknow Super Giants,Rajasthan Royals,M Chinnaswamy Stadium,18.6,195,1,28,0,203
Delhi Capitals,Chennai Super Kings,Narendra Modi Stadium,12.2,121,1,40,0,170
Chennai Super Kings,Mumbai Indians,Punjab Cricket Association Stadium,10.3,73,4,65,0,127
Punjab Kings,Delhi Capitals,Arun Jaitley Stadium,6.5,46,5,62,2,152
Punjab Kings,Kolkata Knight Riders,Arun Jaitley Stadium,6.9,44,4,43,1,123
Sunrisers Hyderabad,Chennai Super Kings,Sawai Mansingh Stadium,11.8,74,5,59,0,115
Punjab Kings,Royal Challengers Bangalore,Punjab Cricket Association Stadium,13.7,136,1,65,1,192
Sunrisers Hyderabad,Delhi Capitals,MA Chidambaram Stadium,5.4,39,2,59,0,168
Chennai Super Kings,Royal Challengers Bangalore,Narendra Modi Stadium,8.9,70,2,25,0,160
Mumbai Indians,Kolkata Knight Riders,M Chinnaswamy Stadium,7.7,70,5,66,0,171
Delhi Capitals,Chennai Super Kings,Arun Jaitley Stadium,18.1,140,3,60,0,151
Delhi Capitals,Lucknow Super Giants,Arun Jaitley Stadium,12.9,115,4,34,1,155
Gujarat Titans,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,16.7,116,0,29,0,150
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,15.1,111,3,33,0,153
Sunrisers Hyderabad,Rajasthan Royals,Eden Gardens,15.1,173,4,40,2,207
Kolkata Knight Riders,Gujarat Titans,Wankhede Stadium,18.1,192,1,40,1,202
Chennai Super Kings,Kolkata Knight Riders,Rajiv Gandhi International Stadium,15.1,116,4,57,1,155
Sunrisers Hyderabad,Punjab Kings,Narendra Modi Stadium,5.1,35,1,57,0,165
Mumbai Indians,Lucknow Super Giants,Arun Jaitley Stadium,8.6,77,4,56,0,136
Royal Challengers Bangalore,Gujarat Titans,Eden Gardens,12.9,84,1,29,1,158
Rajasthan Royals,Lucknow Super Giants,Arun Jaitley Stadium,8.8,95,4,39,0,204
Mumbai Indians,Lucknow Super Giants,MA Chidambaram Stadium,8.3,78,2,60,0,204
Chennai Super Kings,Sunrisers Hyderabad,Arun Jaitley Stadium,17.2,167,0,34,0,186
Gujarat Titans,Chennai Super Kings,Feroz Shah Kotla,12.9,89,2,31,1,158
Royal Challengers Bangalore,Sunrisers Hyderabad,Wankhede Stadium,6.5,60,2,26,1,187
Punjab Kings,Mumbai Indians,Feroz Shah Kotla,18.7,167,3,54,1,178
Kolkata Knight Riders,Lucknow Super Giants,M Chinnaswamy Stadium,9.1,83,1,61,0,181
Mumbai Indians,Kolkata Knight Riders,Sawai Mansingh Stadium,9.9,73,3,52,0,128
Rajasthan Royals,Mumbai Indians,Arun Jaitley Stadium,5.7,29,2,60,0,185
Sunrisers Hyderabad,Mumbai Indians,Arun Jaitley Stadium,13.5,70,3,57,1,105
Lucknow Super Giants,Rajasthan Royals,MA Chidambaram Stadium,15.5,103,1,61,0,136
Gujarat Titans,Delhi Capitals,Sawai Mansingh Stadium,17.1,103,3,39,0,133
Chennai Super Kings,Royal Challengers Bangalore,Feroz Shah Kotla,19.3,128,3,25,2,131
Chennai Super Kings,Lucknow Super Giants,Feroz Shah Kotla,8.0,62,4,46,1,149
Rajasthan Royals,Kolkata Knight Riders,Feroz Shah Kotla,9.3,81,4,25,1,176
Rajasthan Royals,Mumbai Indians,Punjab Cricket Association Stadium,8.9,45,2,29,0,124
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,5.5,47,2,44,1,159
Chennai Super Kings,Punjab Kings,Wankhede Stadium,9.4,62,3,37,0,147
Delhi Capitals,Punjab Kings,Wankhede Stadium,11.7,85,1,68,0,174
Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,10.3,113,0,41,0,238
Lucknow Super Giants,Royal Challengers Bangalore,Feroz Shah Kotla,19.3,122,2,32,2,126
Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,8.9,76,2,39,0,195
Chennai Super Kings,Lucknow Super Giants,Feroz Shah Kotla,7.9,81,2,56,1,162
Lucknow Super Giants,Gujarat Titans,Feroz Shah Kotla,14.9,94,1,52,1,144
Lucknow Super Giants,Gujarat Titans,MA Chidambaram Stadium,11.5,74,2,68,1,161
Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,9.7,89,3,35,0,162
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,7.1,52,3,62,1,117
Lucknow Super Giants,Delhi Capitals,Wankhede Stadium,15.1,158,0,51,0,213
Gujarat Titans,Rajasthan Royals,M Chinnaswamy Stadium,11.2,109,2,58,2,209
Mumbai Indians,Kolkata Knight Riders,Rajiv Gandhi International Stadium,14.0,162,1,31,1,200
Rajasthan Royals,Kolkata Knight Riders,MA Chidambaram Stadium,13.5,115,3,52,2,161
Mumbai Indians,Gujarat Titans,Narendra Modi Stadium,8.8,99,0,39,0,182
Sunrisers Hyderabad,Punjab Kings,M Chinnaswamy Stadium,17.1,109,1,32,1,143
Delhi Capitals,Kolkata Knight Riders,Eden Gardens,8.3,41,3,45,0,117
Kolkata Knight Riders,Lucknow Super Giants,Narendra Modi Stadium,8.2,60,4,69,1,141
Punjab Kings,Mumbai Indians,MA Chidambaram Stadium,18.9,175,2,40,0,182
Sunrisers Hyderabad,Punjab Kings,Feroz Shah Kotla,5.1,56,1,28,1,149
Chennai Super Kings,Lucknow Super Giants,Narendra Modi Stadium,11.4,101,2,39,1,158
Lucknow Super Giants,Gujarat Titans,MA Chidambaram Stadium,16.7,180,2,37,1,200
Kolkata Knight Riders,Chennai Super Kings,Rajiv Gandhi International Stadium,9.2,83,3,54,1,172
Gujarat Titans,Sunrisers Hyderabad,Arun Jaitley Stadium,10.6,106,1,44,1,187
Rajasthan Royals,Kolkata Knight Riders,M Chinnaswamy Stadium,11.1,102,8,57,1,148
Rajasthan Royals,Delhi Capitals,Eden Gardens,7.8,63,1,26,1,165
Royal Challengers Bangalore,Punjab Kings,Narendra Modi Stadium,10.9,61,0,65,0,142
Mumbai Indians,Royal Challengers Bangalore,Narendra Modi Stadium,19.1,206,1,57,1,212
Rajasthan Royals,Gujarat Titans,MA Chidambaram Stadium,11.7,111,1,27,1,173
Mumbai Indians,Sunrisers Hyderabad,Sawai Mansingh Stadium,16.1,126,2,45,1,162
Rajasthan Royals,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,6.6,51,3,29,1,125
Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,18.3,120,1,32,0,138
Chennai Super Kings,Lucknow Super Giants,Feroz Shah Kotla,12.2,94,2,37,0,159
Kolkata Knight Riders,Royal Challengers Bangalore,Feroz Shah Kotla,9.2,79,3,30,1,137
Punjab Kings,Kolkata Knight Riders,Rajiv Gandhi International Stadium,12.6,91,4,47,2,143
Punjab Kings,Rajasthan Royals,Arun Jaitley Stadium,10.3,71,2,32,2,171
Gujarat Titans,Punjab Kings,Rajiv Gandhi International Stadium,13.0,81,2,50,1,119
Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,5.5,55,2,69,1,186
Delhi Capitals,Mumbai Indians,Sawai Mansingh Stadium,6.7,51,3,61,0,179
Royal Challengers Bangalore,Mumbai Indians,Feroz Shah Kotla,13.9,105,0,35,0,169
Sunrisers Hyderabad,Chennai Super Kings,Sawai Mansingh Stadium,11.8,112,3,62,1,156
Royal Challengers Bangalore,Mumbai Indians,Punjab Cricket Association Stadium,15.1,166,2,29,0,217
Rajasthan Royals,Royal Challengers Bangalore,Punjab Cricket Association Stadium,18.9,126,2,49,1,137
Punjab Kings,Mumbai Indians,Sawai Mansingh Stadium,8.4,46,2,60,1,164
Mumbai Indians,Lucknow Super Giants,Punjab Cricket Association Stadium,11.1,117,1,56,1,202
Chennai Super Kings,Kolkata Knight Riders,Sawai Mansingh Stadium,11.3,86,1,62,1,182
Kolkata Knight Riders,Mumbai Indians,M Chinnaswamy Stadium,6.2,58,5,48,1,155
Mumbai Indians,Delhi Capitals,Rajiv Gandhi International Stadium,13.0,120,5,52,1,178
Royal Challengers Bangalore,Sunrisers Hyderabad,Narendra Modi Stadium,16.6,141,3,51,0,161
Delhi Capitals,Mumbai Indians,Feroz Shah Kotla,16.1,114,3,68,0,145
Delhi Capitals,Gujarat Titans,M Chinnaswamy Stadium,10.7,84,2,47,1,142
Mumbai Indians,Chennai Super Kings,Narendra Modi Stadium,9.5,61,1,49,0,161
Kolkata Knight Riders,Punjab Kings,Feroz Shah Kotla,19.4,227,2,62,0,230
Mumbai Indians,Lucknow Super Giants,Rajiv Gandhi International Stadium,12.9,80,5,40,1,134
Lucknow Super Giants,Kolkata Knight Riders,Arun Jaitley Stadium,19.1,101,1,44,0,110
Gujarat Titans,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,11.9,99,3,60,0,145
Chennai Super Kings,Mumbai Indians,Rajiv Gandhi International Stadium,8.1,60,3,50,0,153
Mumbai Indians,Rajasthan Royals,Punjab Cricket Association Stadium,14.0,157,1,53,1,195
Sunrisers Hyderabad,Chennai Super Kings,Sawai Mansingh Stadium,13.1,93,3,35,1,144
Royal Challengers Bangalore,Gujarat Titans,Punjab Cricket Association Stadium,16.5,107,3,37,0,135
Kolkata Knight Riders,Lucknow Super Giants,Feroz Shah Kotla,5.7,64,1,29,0,223
Rajasthan Royals,Kolkata Knight Riders,Narendra Modi Stadium,13.9,91,6,35,2,139
Sunrisers Hyderabad,Royal Challengers Bangalore,Sawai Mansingh Stadium,10.2,100,3,31,1,174
Rajasthan Royals,Mumbai Indians,M Chinnaswamy Stadium,11.2,84,8,31,0,137
Mumbai Indians,Kolkata Knight Riders,Punjab Cricket Association Stadium,17.2,175,2,45,1,193
Punjab Kings,Kolkata Knight Riders,Sawai Mansingh Stadium,13.4,100,3,34,1,138
Rajasthan Royals,Sunrisers Hyderabad,Wankhede Stadium,12.3,117,0,38,0,178
Mumbai Indians,Gujarat Titans,Arun Jaitley Stadium,14.3,91,5,54,1,124
Gujarat Titans,Mumbai Indians,Wankhede Stadium,10.8,76,3,41,0,125
Rajasthan Royals,Mumbai Indians,MA Chidambaram Stadium,8.9,64,7,51,0,135
Kolkata Knight Riders,Rajasthan Royals,Punjab Cricket Association Stadium,13.7,117,3,57,3,180
Punjab Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,9.0,100,2,53,1,195
Mumbai Indians,Chennai Super Kings,Arun Jaitley Stadium,9.0,85,2,49,1,178
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,14.4,169,4,41,1,208
Mumbai Indians,Rajasthan Royals,Punjab Cricket Association Stadium,8.9,61,0,52,0,170
Kolkata Knight Riders,Rajasthan Royals,M Chinnaswamy Stadium,16.6,170,4,31,1,185
Royal Challengers Bangalore,Punjab Kings,Feroz Shah Kotla,15.4,137,3,29,0,178
Rajasthan Royals,Delhi Capitals,MA Chidambaram Stadium,13.5,112,3,65,2,172
Sunrisers Hyderabad,Rajasthan Royals,Rajiv Gandhi International Stadium,13.5,72,2,28,2,142
Delhi Capitals,Kolkata Knight Riders,M Chinnaswamy Stadium,10.1,90,4,59,2,139
Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,6.0,54,3,34,0,185
Sunrisers Hyderabad,Rajasthan Royals,Wankhede Stadium,16.8,201,1,35,1,221
Gujarat Titans,Lucknow Super Giants,M Chinnaswamy Stadium,15.2,146,2,66,0,173
Punjab Kings,Lucknow Super Giants,Feroz Shah Kotla,9.9,62,4,26,2,132
Kolkata Knight Riders,Mumbai Indians,Narendra Modi Stadium,14.2,89,2,31,1,128
Delhi Capitals,Royal Challengers Bangalore,Wankhede Stadium,15.7,159,3,44,1,191
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,14.5,127,2,43,2,170
Gujarat Titans,Punjab Kings,Punjab Cricket Association Stadium,19.1,109,1,35,1,115
Punjab Kings,Gujarat Titans,M Chinnaswamy Stadium,9.3,90,3,26,0,192
Gujarat Titans,Sunrisers Hyderabad,Punjab Cricket Association Stadium,11.6,70,2,46,0,162
Rajasthan Royals,Delhi Capitals,Punjab Cricket Association Stadium,13.2,143,3,52,0,181
Kolkata Knight Riders,Gujarat Titans,Feroz Shah Kotla,11.4,115,4,31,0,195
Lucknow Super Giants,Rajasthan Royals,Sawai Mansingh Stadium,7.3,53,5,32,2,136
Gujarat Titans,Mumbai Indians,Arun Jaitley Stadium,16.4,176,6,28,0,199
Kolkata Knight Riders,Sunrisers Hyderabad,Sawai Mansingh Stadium,7.8,47,1,58,0,125
Lucknow Super Giants,Kolkata Knight Riders,Wankhede Stadium,15.1,164,0,35,0,225
Gujarat Titans,Royal Challengers Bangalore,M Chinnaswamy Stadium,9.0,58,1,65,1,148
Punjab Kings,Kolkata Knight Riders,Narendra Modi Stadium,14.3,159,5,66,1,207
Mumbai Indians,Royal Challengers Bangalore,Sawai Mansingh Stadium,10.9,86,1,47,0,192
Rajasthan Royals,Chennai Super Kings,M Chinnaswamy Stadium,6.3,51,5,29,1,153
Lucknow Super Giants,Royal Challengers Bangalore,MA Chidambaram Stadium,10.2,84,3,30,0,166
Lucknow Super Giants,Rajasthan Royals,Arun Jaitley Stadium,7.7,41,2,27,0,141
Gujarat Titans,Rajasthan Royals,Feroz Shah Kotla,14.7,139,2,45,1,171
Gujarat Titans,Rajasthan Royals,Sawai Mansingh Stadium,17.7,114,4,40,0,131
Punjab Kings,Gujarat Titans,Arun Jaitley Stadium,9.2,90,0,27,0,186
Delhi Capitals,Rajasthan Royals,Wankhede Stadium,5.7,40,2,27,1,123
Kolkata Knight Riders,Gujarat Titans,Rajiv Gandhi International Stadium,11.0,82,2,60,0,154
Royal Challengers Bangalore,Lucknow Super Giants,M Chinnaswamy Stadium,13.5,157,2,42,1,211
Kolkata Knight Riders,Royal Challengers Bangalore,Punjab Cricket Association Stadium,7.2,73,1,65,1,149
Royal Challengers Bangalore,Delhi Capitals,MA Chidambaram Stadium,14.2,108,1,26,1,168
Delhi Capitals,Gujarat Titans,Narendra Modi Stadium,8.2,81,2,26,0,145
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,16.6,117,4,50,0,146
Gujarat Titans,Mumbai Indians,Feroz Shah Kotla,8.7,84,3,63,0,151
Royal Challengers Bangalore,Chennai Super Kings,Sawai Mansingh Stadium,13.8,147,3,52,2,200
Chennai Super Kings,Gujarat Titans,Sawai Mansingh Stadium,11.0,55,1,42,0,127
Punjab Kings,Mumbai Indians,Punjab Cricket Association Stadium,12.1,90,3,35,1,154
Kolkata Knight Riders,Rajasthan Royals,Wankhede Stadium,10.3,97,0,41,0,189
Chennai Super Kings,Mumbai Indians,M Chinnaswamy Stadium,14.5,149,2,41,0,197
Gujarat Titans,Punjab Kings,Sawai Mansingh Stadium,17.8,153,3,56,0,166
Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,10.4,114,3,27,0,167
Delhi Capitals,Sunrisers Hyderabad,Feroz Shah Kotla,6.3,60,4,53,2,126
Rajasthan Royals,Gujarat Titans,Sawai Mansingh Stadium,14.5,147,2,68,0,178
Lucknow Super Giants,Gujarat Titans,Eden Gardens,5.6,44,1,65,0,184
Chennai Super Kings,Gujarat Titans,Eden Gardens,5.6,43,1,54,0,205
Lucknow Super Giants,Delhi Capitals,Narendra Modi Stadium,14.6,145,4,57,2,178
Punjab Kings,Gujarat Titans,M Chinnaswamy Stadium,9.6,102,1,44,0,188
Chennai Super Kings,Mumbai Indians,Eden Gardens,12.4,67,5,69,0,115
Rajasthan Royals,Mumbai Indians,Eden Gardens,5.0,37,0,58,0,157
Kolkata Knight Riders,Chennai Super Kings,Narendra Modi Stadium,16.8,84,3,49,2,107
Kolkata Knight Riders,Royal Challengers Bangalore,Wankhede Stadium,7.6,39,2,67,0,175
Royal Challengers Bangalore,Delhi Capitals,Punjab Cricket Association Stadium,14.5,83,2,44,1,138
Lucknow Super Giants,Royal Challengers Bangalore,Wankhede Stadium,9.8,112,1,25,1,188
Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,8.8,85,3,41,1,170
Punjab Kings,Kolkata Knight Riders,Feroz Shah Kotla,7.5,39,1,53,1,111
Mumbai Indians,Kolkata Knight Riders,Feroz Shah Kotla,16.5,82,5,57,0,100
Delhi Capitals,Chennai Super Kings,Punjab Cricket Association Stadium,12.9,125,0,27,0,209
Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,15.6,141,1,43,0,175
Kolkata Knight Riders,Delhi Capitals,Feroz Shah Kotla,12.5,77,2,58,1,138
Delhi Capitals,Kolkata Knight Riders,Eden Gardens,17.3,206,2,64,2,225
Chennai Super Kings,Rajasthan Royals,Narendra Modi Stadium,17.4,159,4,46,4,175
Delhi Capitals,Punjab Kings,MA Chidambaram Stadium,9.4,89,3,56,1,166
Royal Challengers Bangalore,Kolkata Knight Riders,Arun Jaitley Stadium,18.0,135,2,49,0,155
Kolkata Knight Riders,Sunrisers Hyderabad,Punjab Cricket Association Stadium,8.3,76,2,61,2,186
Punjab Kings,Delhi Capitals,Feroz Shah Kotla,8.9,93,3,41,0,153
Kolkata Knight Riders,Delhi Capitals,MA Chidambaram Stadium,10.6,126,5,27,2,192
Mumbai Indians,Gujarat Titans,Wankhede Stadium,6.5,38,2,42,1,177
Punjab Kings,Mumbai Indians,Wankhede Stadium,10.0,109,2,31,1,177
Punjab Kings,Kolkata Knight Riders,Sawai Mansingh Stadium,8.0,59,0,63,0,182
Kolkata Knight Riders,Delhi Capitals,Rajiv Gandhi International Stadium,14.3,146,4,39,0,188
Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,10.2,89,2,50,1,166
Delhi Capitals,Lucknow Super Giants,Punjab Cricket Association Stadium,16.6,115,7,31,0,135
Lucknow Super Giants,Royal Challengers Bangalore,M Chinnaswamy Stadium,7.7,87,3,27,0,182
Royal Challengers Bangalore,Gujarat Titans,Rajiv Gandhi International Stadium,18.7,144,2,47,0,157
Delhi Capitals,Punjab Kings,Punjab Cricket Association Stadium,15.9,121,1,56,1,151
Gujarat Titans,Punjab Kings,Eden Gardens,12.6,148,4,62,0,195
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,7.9,67,2,36,1,173
Mumbai Indians,Chennai Super Kings,Arun Jaitley Stadium,6.1,62,7,51,1,161
Sunrisers Hyderabad,Rajasthan Royals,Punjab Cricket Association Stadium,14.0,111,5,54,1,157
Royal Challengers Bangalore,Kolkata Knight Riders,Narendra Modi Stadium,7.0,76,3,31,1,152
Sunrisers Hyderabad,Chennai Super Kings,Feroz Shah Kotla,6.9,61,0,64,0,143
Chennai Super Kings,Gujarat Titans,Rajiv Gandhi International Stadium,13.0,155,2,55,1,212
Kolkata Knight Riders,Rajasthan Royals,Feroz Shah Kotla,14.7,124,6,32,1,166
Sunrisers Hyderabad,Delhi Capitals,Wankhede Stadium,5.3,60,4,36,0,200
Gujarat Titans,Punjab Kings,Sawai Mansingh Stadium,11.6,112,6,29,0,158
Lucknow Super Giants,Kolkata Knight Riders,Eden Gardens,12.2,113,4,52,1,169
Punjab Kings,Kolkata Knight Riders,Wankhede Stadium,5.7,41,5,58,2,164
Kolkata Knight Riders,Royal Challengers Bangalore,MA Chidambaram Stadium,8.1,78,3,36,0,194
Gujarat Titans,Mumbai Indians,MA Chidambaram Stadium,17.2,98,2,34,2,124
Chennai Super Kings,Sunrisers Hyderabad,Punjab Cricket Association Stadium,7.7,59,2,55,0,142
Lucknow Super Giants,Chennai Super Kings,Feroz Shah Kotla,5.3,39,3,39,1,144
Mumbai Indians,Punjab Kings,Feroz Shah Kotla,10.5,70,1,63,1,155
Kolkata Knight Riders,Sunrisers Hyderabad,Wankhede Stadium,8.9,49,2,28,0,132
Kolkata Knight Riders,Lucknow Super Giants,Arun Jaitley Stadium,10.7,62,1,28,0,118
Punjab Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,15.2,117,1,35,0,175
Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,17.1,87,2,56,0,110
Delhi Capitals,Royal Challengers Bangalore,M Chinnaswamy Stadium,14.2,126,4,58,3,161
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,7.5,62,4,60,0,170
Kolkata Knight Riders,Gujarat Titans,M Chinnaswamy Stadium,8.5,59,5,62,1,127
Gujarat Titans,Sunrisers Hyderabad,Feroz Shah Kotla,8.6,56,1,55,1,178
Kolkata Knight Riders,Sunrisers Hyderabad,M Chinnaswamy Stadium,6.9,62,2,60,2,153
Punjab Kings,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,18.3,147,5,43,2,157
Gujarat Titans,Lucknow Super Giants,Feroz Shah Kotla,17.1,154,3,31,0,183
Punjab Kings,Gujarat Titans,Arun Jaitley Stadium,11.9,64,3,56,0,146
Kolkata Knight Riders,Mumbai Indians,Rajiv Gandhi International Stadium,8.1,76,0,28,0,194
Sunrisers Hyderabad,Rajasthan Royals,Feroz Shah Kotla,14.1,75,2,34,1,115
Lucknow Super Giants,Royal Challengers Bangalore,M Chinnaswamy Stadium,19.5,145,1,55,0,149
Mumbai Indians,Rajasthan Royals,Punjab Cricket Association Stadium,8.2,63,3,53,0,152
Gujarat Titans,Royal Challengers Bangalore,Sawai Mansingh Stadium,8.8,72,2,37,2,158
Punjab Kings,Sunrisers Hyderabad,Arun Jaitley Stadium,8.7,82,3,56,1,182
Punjab Kings,Gujarat Titans,Sawai Mansingh Stadium,9.4,75,5,29,1,168
Chennai Super Kings,Rajasthan Royals,Punjab Cricket Association Stadium,11.3,90,3,59,0,141
Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,14.2,79,5,26,0,116
Royal Challengers Bangalore,Gujarat Titans,Narendra Modi Stadium,6.2,53,2,32,2,209
Gujarat Titans,Mumbai Indians,Punjab Cricket Association Stadium,13.3,157,0,57,0,224
Rajasthan Royals,Lucknow Super Giants,Sawai Mansingh Stadium,16.6,148,0,56,0,187
Lucknow Super Giants,Rajasthan Royals,Narendra Modi Stadium,5.6,33,3,31,1,142
Sunrisers Hyderabad,Rajasthan Royals,M Chinnaswamy Stadium,9.7,86,2,61,2,172
Mumbai Indians,Gujarat Titans,Sawai Mansingh Stadium,6.8,69,3,55,0,184
Kolkata Knight Riders,Gujarat Titans,Feroz Shah Kotla,18.4,210,1,64,1,220
Chennai Super Kings,Delhi Capitals,Narendra Modi Stadium,6.7,35,2,42,1,108
Mumbai Indians,Royal Challengers Bangalore,Punjab Cricket Association Stadium,7.7,75,1,31,0,176
Punjab Kings,Rajasthan Royals,MA Chidambaram Stadium,6.5,40,3,63,2,170
Punjab Kings,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,7.7,45,0,67,0,197
Sunrisers Hyderabad,Delhi Capitals,Punjab Cricket Association Stadium,9.0,102,6,57,0,181
Chennai Super Kings,Gujarat Titans,Punjab Cricket Association Stadium,6.1,52,1,36,1,204
Sunrisers Hyderabad,Gujarat Titans,Feroz Shah Kotla,16.5,140,1,45,0,171
Punjab Kings,Lucknow Super Giants,MA Chidambaram Stadium,18.8,114,8,40,1,118
Royal Challengers Bangalore,Rajasthan Royals,MA Chidambaram Stadium,14.0,125,1,60,0,163
